PT 2,PT 1,PT 3
99.1,99.1,105.3110128
98.9,98.9,105.1390629
98.7,98.7,104.9675576
98.6,98.6,104.7964954
98.4,98.4,104.6258745
98.2,98.2,104.4556936
98.1,98.1,104.285951
97.9,97.9,104.1166451
97.7,97.7,103.9477745
97.6,97.6,103.7793377
97.4,97.4,103.611333
97.2,97.2,103.443759
97.1,97.1,103.2766141
96.9,96.9,103.1098969
96.8,96.8,102.9436059
96.6,96.6,102.7777396
96.4,96.4,102.6122964
96.3,96.3,102.447275
96.1,96.1,102.2826738
96.0,96.0,102.1184914
95.8,95.8,101.9547263
95.7,95.7,101.7913771
95.5,95.5,101.6284423
95.3,95.3,101.4659205
95.2,95.2,101.3038102
95.0,95.0,101.1421101
94.9,94.9,100.9808187
94.7,94.7,100.8199346
94.6,94.6,100.6594564
94.4,94.4,100.4993827
94.3,94.3,100.3397121
94.1,94.1,100.1804432
93.9,93.9,100.0215746
93.8,93.8,99.86310503
93.6,93.6,99.70503298
93.5,93.5,99.54735716
93.3,93.3,99.39007619
93.2,93.2,99.23318873
93.0,93.0,99.07669343
92.9,92.9,98.92058894
92.7,92.7,98.76487394
92.6,92.6,98.60954709
92.4,92.4,98.45460708
92.3,92.3,98.30005257
92.1,92.1,98.14588227
92.0,92.0,97.99209485
91.8,91.8,97.83868904
91.7,91.7,97.68566352
91.5,91.5,97.53301701
91.4,91.4,97.38074822
91.2,91.2,97.22885588
91.1,91.1,97.07733871
91.0,91.0,96.92619545
90.8,90.8,96.77542484
90.7,90.7,96.62502561
90.5,90.5,96.47499651
90.4,90.4,96.3253363
90.2,90.2,96.17604375
90.1,90.1,96.0271176
89.9,89.9,95.87855664
89.8,89.8,95.73035964
89.7,89.7,95.58252538
89.5,89.5,95.43505264
89.4,89.4,95.28794022
89.2,89.2,95.14118691
89.1,89.1,94.99479151
89.0,89.0,94.84875282
88.8,88.8,94.70306967
88.7,88.7,94.55774086
88.5,88.5,94.41276522
88.4,88.4,94.26814157
88.3,88.3,94.12386874
88.1,88.1,93.97994557
88.0,88.0,93.8363709
87.8,87.8,93.69314358
87.7,87.7,93.55026245
87.6,87.6,93.40772638
87.4,87.4,93.26553421
87.3,87.3,93.12368482
87.2,87.2,92.98217708
87.0,87.0,92.84100986
86.9,86.9,92.70018204
86.7,86.7,92.55969251
86.6,86.6,92.41954014
86.5,86.5,92.27972384
86.3,86.3,92.14024251
86.2,86.2,92.00109504
86.1,86.1,91.86228034
85.9,85.9,91.72379732
85.8,85.8,91.58564491
85.7,85.7,91.44782201
85.5,85.5,91.31032756
85.4,85.4,91.17316048
85.3,85.3,91.03631971
85.1,85.1,90.89980419
85.0,85.0,90.76361286
84.9,84.9,90.62774466
84.7,84.7,90.49219855
84.6,84.6,90.35697348
84.5,84.5,90.22206841
84.4,84.4,90.08748231
84.2,84.2,89.95321415
84.1,84.1,89.81926289
84.0,84.0,89.68562751
83.8,83.8,89.55230701
83.7,83.7,89.41930035
83.6,83.6,89.28660653
83.5,83.5,89.15422454
83.3,83.3,89.02215339
83.2,83.2,88.89039207
83.1,83.1,88.75893958
83.0,83.0,88.62779495
82.8,82.8,88.49695718
82.7,82.7,88.36642528
82.6,82.6,88.23619829
82.4,82.4,88.10627523
82.3,82.3,87.97665512
82.2,82.2,87.847337
82.1,82.1,87.71831991
82.0,82.0,87.58960289
81.8,81.8,87.46118499
81.7,81.7,87.33306525
81.6,81.6,87.20524273
81.5,81.5,87.07771648
81.3,81.3,86.95048556
81.2,81.2,86.82354905
81.1,81.1,86.696906
81.0,81.0,86.57055549
80.8,80.8,86.4444966
80.7,80.7,86.3187284
80.6,80.6,86.19324998
80.5,80.5,86.06806042
80.4,80.4,85.94315882
80.2,80.2,85.81854426
80.1,80.1,85.69421585
80.0,80.0,85.57017268
79.9,79.9,85.44641387
79.8,79.8,85.32293852
79.6,79.6,85.19974574
79.5,79.5,85.07683465
79.4,79.4,84.95420436
79.3,79.3,84.831854
79.2,79.2,84.7097827
79.1,79.1,84.58798958
78.9,78.9,84.46647378
78.8,78.8,84.34523443
78.7,78.7,84.22427067
78.6,78.6,84.10358165
78.5,78.5,83.98316651
78.4,78.4,83.8630244
78.2,78.2,83.74315448
78.1,78.1,83.6235559
78.0,78.0,83.50422782
77.9,77.9,83.38516941
77.8,77.8,83.26637982
77.7,77.7,83.14785824
77.6,77.6,83.02960383
77.4,77.4,82.91161576
77.3,77.3,82.79389323
77.2,77.2,82.67643541
77.1,77.1,82.55924149
77.0,77.0,82.44231065
76.9,76.9,82.32564209
76.8,76.8,82.209235
76.7,76.7,82.09308858
76.5,76.5,81.97720204
76.4,76.4,81.86157458
76.3,76.3,81.7462054
76.2,76.2,81.63109371
76.1,76.1,81.51623874
76.0,76.0,81.4016397
